ID;Başlık;Yazar;Yazar ID;İşaretler;Favori mi?;Favori Sayısı;Yorum Sayısı;İçerik;Oluşturulma Tarihi;Güncelleme Tarihi
"22781";"meditasyon";"abani";"7096";"share report vote";"Evet";"33";"0";"zihni düşüncelerden arındırma veya zihinsel enerjiyi enerjiyi bir noktaya yoğunlaştırma gibi yöntemlerle, ruhsal sorunların çözülmesi, başarı oranının arttırılması...";"06.08.1999";""
"64771";"meditasyon";"exultsoul";"7476";"share report vote";"Evet";"3";"0";"kansantrasyonu geliştirmek ve arttırmak için kullanılan yöntem";"19.11.1999 00:00";""
"64797";"meditasyon";"barbie";"7183";"share report vote";"Evet";"0";"0";"(bkz: transandantal meditasyon)";"19.11.1999 01:04";""
"260384";"meditasyon";"sebze";"8012";"share report vote";"Evet";"17";"0";"dusuncesiz farkindalik...dikkatin dusuncesiz konumda oldugu biliclilik hâli...simdiki zamanin farkina varilmasina, ic huzura ulasmaniza yardimci olur ...nasıl yapilir ? yemek tarifi gibi olucak ama hadi bakalım .. rahat bi sekilde oturulur (toprak vibrasyonundan faydalanilmasi tavsiye olunur) eller dizin üstünde avuçlar yukariya dogru acik ve ne hissedildigini gozlemler bi vaziyette, icinden mantralar söyleyerek ...""ideal konum tamamiyle bagimsiz,acik ve rahat olmaktir .""meditasyon un yarım saat bi saat v.s. gibi bir kısıtlaması yoktur genelde 10-15 dakika surer.. bazi ögretilere göre değişik saatlerde yapılması tavsiye olunur. bazılarında gece uyku öncesi bazilarinda ise sabah erken bi saatte 4-5 gibi meditasyon yapilmasi tavsiye olunur..";"08.11.2000 11:18";"23.02.2005 10:03"
"542770";"meditasyon";"whitesaint";"11108";"share report vote";"Evet";"3";"0";"içe dönüş ve içe bakış ile başlayan... ""şey""";"21.07.2001 17:45";"21.07.2001 17:46"
"1153430";"meditasyon";"vpr";"12661";"share report vote";"Evet";"27";"0";"bedene yogunlasma yontemi. benim gibi bu konu hakkinda herhangi bir teknik bilgi sahibi olmadana bu ise girisiyorsaniz ilginc sonuclar ortaya cikabiliyor. once bedeninizi hissetmiyor ve beyninizden ibaret oldugunuzu hissediyorsunuz, sonra butun enerjinizin kafanizda toplandigini ve ugultunun arttigini duyuyorsunuz, sonrasinda her defasinda film farkli kopuyor. her gecen gun daha ileri noktalara ulasiyor fakat nedense beyninizde actiginiz kapilarin urkutuculugunden dolayi kendinizi frenliyorsunuz. en son deneyimimde ulastigim noktada goz kapaklarim son derece hizli bir sekilde acilip kapanmaya baslayip, beynimdeki ugultu oha dedirtecek noktaya geldiginde nereye gittigini bilmeme korkusu ile beden olaya dur dedi. inanilmaz dinlendirici, dinclestirici ve insan bedeninin nelere kadir oldugunu ortaya koyan bir aktivite: hele benim gibi nereye gittiginizi bilmiyorsaniz olum korkusundan, tum duyulari kapatmaya kadar her turlu deneyimi yasayabilirsiniz.";"30.03.2002 01:05";""
"1455385";"meditasyon";"sirius";"21727";"share report vote";"Evet";"5";"0";"yapılan tanımlar çerçevesinde en etkili meditasyon yöntemlerinden birinin spor olduğu açıkça görülebilir.";"22.07.2002 20:57";""
"2394445";"meditasyon";"palestrina";"29918";"share report vote";"Evet";"3";"0";"(bkz: sac kurutma makinesiyle meditasyon yapan insan)";"21.02.2003 00:59";"21.02.2003 01:00"
"3037826";"meditasyon";"kraker";"31667";"share report vote";"Evet";"53";"0";"insanların, öğrenmek, yapmak için kurslara gidip tonla para harcadığı aktivite. oysa günlük yaşamda meditasyon anlamını taşıyan o kadar çok basit aktivite var ki. gidin çim sulayın, bulaşık yıkayın, çekirdek çitleyin: ama bunları yaparken sadece bu işe konsantre olun: geri kalan tüm dertlerinizi düşüncelerinizi bırakın gitsin. buyrun size ücretsiz meditasyon. hem de aradan bi dolu işi de çıkarmış oldunuz, fena mı.";"30.06.2003 12:14";"19.06.2009 10:52"
"3598842";"meditasyon";"palestrina";"29918";"share report vote";"Evet";"2";"0";"(bkz: vipassana meditasyonu)";"19.11.2003 22:40";""
"16969149";"meditasyon";"magick";"37348";"share report vote";"Evet";"38";"0";"meditasyon, eylemsel ifade olarak ki$inin gundelik hayatta kullandigi farkindalik duzeyi -ki buna ""zihin"" diyoruz- ve bilinc durumunda degi$iklige gidilmesi olarak cumlele$tirilebilir. oncelikle, bu tanimin dogurdugu buyuk bir yanli$liga deginmeden olmayacak: meditasyon ust uste eklenmi$ tuglalar gibi ilerleyen bir yukseli$ sureci, bir tirmanma, dogrusal anlamda bir ""cogalma"" ya da artma degildir. tam tersi, ki$inin benliginde asalak misali tutunmu$ fazlaliklarini atarak du$ebilecegi en bazal bilinc formuna kavu$masi demektir. bir nevi sifir noktasina ula$ma cabasidir. azalmadir, öz varliga sonradan eklemlenmi$liklerden kurtularak belki de gercekte ilk kez ""ben"" olmaktir. insan, dogdugu andan ba$layarak tum ya$ami boyunca zihninin hukumranliginda, her gecen gun ona daha da fazlaca kolele$erek hayatini idame ettirir. bu bir yandan da, eger mudahele edilmezse bir zorunluluktur cunku zihnin gorevi insan algilariyla ha$ir ne$ir olmak ve bu algilari i$leyerek sonuclar uretmektir. ve, bu hayatin devami icin elzem bir durumdur. ancak zihin ayni zamanda, insana dogu$tan hediye edilen öz benlik farkindaligini kapatan bir kapak gibidir. insani kendinden uzakla$tirir, di$ariya odaklidir. yaniltir, ugra$tirir, kolayi sevmez, suclar, sorular sorar ve yorumlar. zihnin dogasi olan bu duzey bilincin kendi farkindaligi ve kollektif varolu$la olan koprulerini zedeler. i$te meditasyon, bir sureligine de olsa zihni devre di$i birakarak -hic olmadi en bazal duzeye indirgeyerek- kendini dinleyebilmek, özünü hissedebilmek, benligini duyumsamak ve varolu$un engin $elalelerinden bir damla da olsa su icebilmek demektir. odaklanilan belirli bir nesne, ses, nefes ya da zihinsel imgelem ile diger duyularin i$lerini yapmasi engellenerek zihin mumkun oldugunca bo$altilir. burada nesneler ve imgeler öz itibariyle oldukca onemsizdir, onemli olan tek bir noktaya odaklanabilmekte yatar. bu her ne kadar zor gorunse de, emin olunsun ki ba$arili olmanin yolu denemekten ve rahat hissetmekten geciyor. ilk denemede ki$inin tam bir meditatif surece girmesi zaten imkansizdir. bu, denemeler devam ettikce, hatta cogu zaman kendiliginden gercekle$ecektir. dogru ve derin bir meditatif surecin icerisindeyken kendi varliginizi evvelinde hic olmadigi kadar fazlaca farkedersiniz. zihnin oyunlari sonucu surekli di$aridan iceriye dogru cali$an algisal ve duyumsal surecler tersine doner. tum varolu$u en derininizdeki o sifir noktasindan acilarak, di$ariya dogru algilar, gorur ve bilirsiniz. ve ""tum"" ile birlik vaziyetine gectiginizi gorursunuz. her$ey ve herkes siz, siz de tum evren olmu$sunuzdur... kavramlar, kelimeler, bilgiler, insanlar, $arkilar, lezzetler ve otesi bir kazanin icinde birbirlerinin icine kari$ir, bir olurlar. bedeninize tesir eden enerji noktalari dengeye gelir, mutlak bir dinginlik ve huzur haline, hicbir $ey yapmadan sadece varolmanin ne demek oldugu algisina ula$irsiniz. ve bu, gercekten de kelimeler ile tarif edilemeyecek kadar muthi$ bir deneyimdir.";"02.10.2009 19:27";""
"13151103";"meditasyon";"evliya";"242878";"share report vote";"Evet";"26";"0";"aşağıdaki adresteki adamın tarifleriyle yapınca, ilk denemede ohaa dedirten olay. http://www.youtube.com/watch?v=jamqqzdnbv8 lord andurien uyardı, video kaldırılmış. yenisini bulursam eklerim. ek: videoyu bir daha aramadım. madem aramadım, yazayım dedim. meditasyon hocası önce iki elinizi birbirine yapıştırıp boylarının aynı olduğunu gösteriyor. daha sonra bir elinizi dizinize koymanızı, bir elinizi de yukarıda tutmanızı: bu hareketi yaparken yukarıdaki elinizden aşağıdaki elinize düşüncenizle enerji aktarmanızı istiyor. işlem bittiğinde, iki elinizi ilk baştaki gibi birleştirince, bir elinizin diğerinden daha büyük olduğunu görüyorsunuz. bir elinizin sürekli daha büyük olmasını istemiyorsanız, aynı düşünce gücüyle enerjiyi ters tarafa aktarmanız gerekiyor. basit bir kan dolaşımı hilesi, ama olsun, eğlenceli *";"26.04.2008 23:52";"01.02.2010 16:20"
