ID;Başlık;Yazar;Yazar ID;İşaretler;Favori mi?;Favori Sayısı;Yorum Sayısı;İçerik;Oluşturulma Tarihi;Güncelleme Tarihi
"101098563";"meditopia";"merciless torturer";"1687229";"share report vote";"Evet";"12";"0";"şimdiye kadar başlığının açılmamış olmasına şaşırdığım meditasyon uygulaması. yaklaşık bir buçuk senedir büyük bir verim alarak kullanıyorum. bu süre zarfında fırsat buldukça hayatın akışından soyutlanıp kendime zaman ayırmamı sağladı. geçen gün de yerli girişim olduğunu şans eseri öğrendim, haliyle ekşi’de hakkında birkaç entry girilmiştir girip okuyayım diye düşündüm ama bulamayınca kendim başlık açmak durumunda kaldım.";"26.01.2020 18:59";""
"101098840";"meditopia";"whwhite";"1987654";"share report vote";"Evet";"1";"0";"geniş bir içerik yelpazesine sahip meditasyon uygulaması. basit, hoş bir arayüze ve sayısız dil desteğine sahip.";"26.01.2020 19:05";""
"101820325";"meditopia";"ohaaaa";"1537656";"share report vote";"Evet";"4";"0";"app store’daki en başarılı meditasyon uygulaması.";"09.02.2020 11:57";""
"104551519";"meditopia";"tuzuklerin efendisi";"885704";"share report vote";"Evet";"5";"0";"enteresan bir şekilde oldukça faydalı bulduğum uygulama. klasik meditasyon zırvalarından çok farklı. direk sonuç odaklı. akla, mantığa, ruha yatkın içeriklerle dolu.";"01.04.2020 16:06";""
"104823454";"meditopia";"berkoooo";"1769977";"share report vote";"Evet";"2";"0";"meditasyon falan böyle insan olur mu canım öyle şey diyor yani ben diyorudum cakralari açalım tüm olan biten zihnimizde harbi öyle galiba ahahah.bence baya iyi birde diyodum millet himalayalara falan gidiyor napiyosunuz abi siz falan derdim ciddi iş galiba neyse bana iyi geldi nefes al ver :)";"05.04.2020 22:57";""
"105416723";"meditopia";"britthebohemian";"1304608";"share report vote";"Evet";"4";"0";"iki yıldır üyesi olduğum uygulama. mayıs'ta 3. yılım başlayacak. eskiden adı ""meditasyon""du, gerçi instagram hesaplarının ismi hala ""meditasyonapp"", fakat dünya çapında bir uygulama olduğu için ortak bir isim kullanmaya karar vermişler. 3. yılımda da üyeliğimi yenileyeceğim, çünkü içerik geliştirmekten geri kalmıyorlar ve neredeyse her hafta yeni bir özellikle ya da içerikle karşılaşıyorum. her ihtiyaca dokunacak içeriğe sahipler. bunun gibi birçok uygulama var belki ama, bu kadar kompakt olanına ve bizden olanına rastlamadım. bununla birlikte istanbul bienali için düzenledikleri meditasyon buluşmalarını da sevgili deniz bağan'dan bahsetmeden atlamayacağım. uygulamadaki en son güzellik ise uyku bölümünde selim bayraktar'ın sesinden dinlediğimiz 25dk'lık tahir ile zühre hikayesi. namaste.";"15.04.2020 01:20";"29.05.2020 19:48"
"105683648";"meditopia";"sentient";"965755";"share report vote";"Evet";"1";"0";"bir süredir kullandığım ve hakikaten faydasını gördüğüm uygulama. eskiden meditasyona günde 15 dakika ayıracaksın deseler inanmazdım ve ne faydası olacak ki derdim belki ama şimdi işlerimi bitireyim de bir an önce meditasyon yapayım diyorum. yalnız gece uyurken de yapmaya çalışıyorum ama deep relaxation'da hiç sona gelemedim, hemen uyutuyor. onun dışında çok sevdim.";"19.04.2020 17:17";""
"105986532";"meditopia";"en onemli sey";"1713882";"share report vote";"Evet";"4";"0";"iki yıldır kullanıyorum ancak seslendiren kişi artık eskisi gibi nötr bir sesle konuşmuyor, fazlaca tonlama yapıyor ve bu dikkatimi dağıtıyor. bu yüzden aboneliğimi sonlandırdım ve yenilemeyeceğim. yani nasıl desem, sesinde bir şımarıklık var artık. güzel başlayan çoğu girişim, ünü kaldıramayınca o ilk naif halini yitiriyor maalesef. meditasyon uygulaması için bile geçerli bu, ne ironi.";"24.04.2020 20:51";"24.04.2020 23:09"
"106192836";"meditopia";"xenophilius";"1605752";"share report vote";"Evet";"1";"0";"eski adı (bkz: meditasyon app) olan en kapsamlı türkçe içeriğe sahip meditasyon uygulaması. deniz’in sesini seviyorum, çok uzun zamandır kullanıyor olmama rağmen halen hiç sıkılmadım. meditasyonlarını ne kadar beğensem de müziklerini hiç sevmiyorum. gerçekten çok kötüler 20 çeşit müzik varsa 15i bana göre çöp. çok gürültülüler, yönlendirmesiz yaparken müzikleri işime yaramıyor yallah yutupa gidiyorum. bir el atıverin canlarım, hadi.";"28.04.2020 04:27";""
"106268152";"meditopia";"buzdagi";"1232378";"share report vote";"Evet";"0";"0";"if you high videoları gibi alıp uzaklara götürecek bir şey sanarak indirdim reklamlarından dolayı. yumuşak ses tonuyla konuşan bir abla var sadece, sıkıldım sildim. tanım: meditasyon falan filan uygulaması.";"29.04.2020 15:36";""
