,date,rating,review
0,2020-07-06 20:34:43,5,Harry’s part of this app so um yes I’m downloading ✨🌈🍉🌿🍒🥝
1,2018-08-22 23:19:41,3,"tamam güzel program bi sürü hikaye müzik koymussun ,o cat diye para cekme hikayesi nedir! heyy gidi yazılımcı, gençlik yılların ana babanın  kredi kartlarını aşırmakla mı geçti, oradan da kodladıgın programa yer etmis huyun.alırım o parayı söke söke☠️"
2,2019-07-18 13:08:41,5,Türkçe dil desteği var mı ? Ona göre yükleyeceğim
3,2019-06-10 22:29:13,1,200 dolar aylık benim maaşım ediyor yahu
4,2020-05-11 06:12:04,1,"- türkçe dil desteğin yok ( ingilizce bilmeyen kullanmasın mı yani ?)
 - böyle güzel şeyler tabi ki ulaşılamaz olur ama keşke ücretsiz olsaydın .. 

Seni sevmiştim .. 
neyse bi daha hayatıma zengin ve kültürlü olarak gelirsem görüşürüz 👋🏻"
5,2020-07-22 09:53:50,1,"Üyeliğimi iptal etmeme ragmen para kesiyor hala , deneme süresinde para aldılar para iadesi istiyorum !!!"
6,2017-09-12 04:55:44,5,Calm is the app that you need for the Meditation...
7,2020-10-26 20:53:24,1,"EVERYTHING on the app is locked. I don’t understand, why did you bother making a premium app? Because the regular app isn’t free either."
8,2020-04-28 23:18:19,1,"I love love love Calm however, last 6 months the application throws me out every time. I update it but still same. I love to sleep with the sounds but until I can reach I feel more stressed. I need to restart the app like 10 times. Please do something to fix this. I would love to buy the premium version but I don’t want because of this issue."
9,2020-02-23 21:12:09,1,Para ödemezseniz hiçbir şey yapamazsınız tavsiye etmem
10,2020-01-05 11:16:29,1,Daha ne işe yaradığını bilmeden niçin üye oluyorum arkadaş? Üyelik zorunlu olmamalı
11,2020-01-02 21:32:28,1,"Her gece 3-4 denemeden sonra açılıyor
1 yıllık abone oldum
Yazık"
12,2019-03-11 11:46:09,1,Kesinlikle dikkat edilmesi gereken bir uygulama. Yanlışlıkla deneme sürümü için bakmaya girdim hiç onay vermeden aniden önüme bir pencere çıktı yanlışlıkla okeye bastım direkt hesabımdan 200 tl çekti. Bu yanlışlığın derhal düzeltilmesini istiyorum. KESİNLİKLE İNDİRMEYİN
13,2019-03-07 14:17:45,1,Benden de durduk yere 1 yıllık abonelik için 159 lira çekmişler. Deneme süresi bitti diye bir uyarı da yok! İptal de edemiyorum. Sadece bir sonraki yıl yenilenmesin diye ayar yapabiliyorum. Hesabımda başka param da yoktu. Aç kaldım. Helal etmiyorum. Zehir zıkkım olsun! Uygulamayı da sildim! Verdiği zarar uyduruk rahatlatma palavrasına değmiyor! Leş kargaları!
14,2018-02-13 15:21:02,1,Sakın indirmeyin 7 günlük deneme başlatıp abonelik iptal etmezseniz otomatik 159tl yıllık abonelik kesiyor benden aldılar Haram Zıkkkım olsun şerefsizler
15,2019-10-16 08:40:22,1,210 tl para çekmişler hesabımdan. Ücretsiz diyr yükledim bir hata dolmadan hedaptan para çektiler dikkatli olun iptan için appstore iletişimi arayın birsürü insandan çekmişler.
16,2021-01-04 21:31:26,5,not me downloading this app just for harry🗿
17,2020-11-11 15:09:18,3,"Bence çok güzel bir uygulama ama ücretsiz hesap kullananlar için eziyet. Neredeyse hiçbir hikaye, müzik vb ücretsizi yok varsa da 
1 bulana kadar canın çıkıyor 
2 bulunca da bir bölüm falan oluyor. O yüzden ya premium almanızı ya da hiç yüklememenizi öneriyorum."
18,2020-07-26 05:12:00,3,Just 4 the Harry 😻😻😻😹😹😻😹😹❤️❤️❤️😻😹😻😹😋😋😋😋😋😋😽😽😽😽😽😽
19,2020-09-06 22:43:58,1,"Please update Turkish language,because I can’t understand very well."
20,2020-07-14 07:25:09,5,Süper
21,2020-07-14 14:32:33,1,There is only ONE free option. This app is a waste of space.
22,2020-07-13 00:24:29,5,Just for harry🥰✨💕💗
23,2017-11-22 05:56:11,5,I using ipad. App optimized for ipads last update. Thank you very much. We like widget too
24,2020-07-06 20:26:21,5,I'm here for Harry Styles...
25,2020-07-06 20:15:56,5,Here for Harry Styles
26,2021-02-20 21:50:03,5,"I’ve been using this app for 2-3 years now. Started with free version for couple of months. It surprisingly worked so I’ve decided to pay for more. This is the only app I’ve literally paid this much, you figure😅 totally love and recommend this app. 💙"
27,2021-02-28 01:38:29,1,"If you dont pay, there is not a single sleep sound for free. This was my favourite app once. But now, useless for me."
28,2020-07-08 18:07:38,5,Self explanatory title.
