,date,rating,review,developerResponse.body
0,2020-07-07 22:44:10,5,"I had a wonderful 2018, but mid 2019 my world shifted dramatically, and everyone knows how 2020 is going. My heart aches for my old self. I would cry seeing photos of me being happy because I knew I wasn’t the same person I was before. My passions have vanished, and I felt like a shell of who I used to be. I have done almost 20 meditations so far. I am learning a new skill which is helping me learn how to stop my (negative/anxious) thoughts, and stories I tell myself (which never happen), and I just listen to the woman talk and follow her directions in regard to where my attention should be. The sleep meditations have me asleep before she gets deep into the story with is only 15 minutes long! I am starting to finally feel like I am not suffocating in my life and can breathe again... Thank you...","Hello, we are all in a very chaotic time with a lot of uncertainty. Life is always full of ups and downs. Our feelings are temporary as everything else in life. Awareness and acceptance of this feelings may create bigger differences in ourselves than we ever expected. Reading your story was really heart-warming. Thanks for sharing with us! Best regards, Ezgi- Member Happiness"
1,2020-07-09 10:01:22,5,"This app has brought a new meaning of gratitude. I have come to a place of learning what works for my life and what does not. This Meditopia app has assisted me in my transition of change with a peace of mind and heart for the greater good of my sanity/health. I was once a Christian who never left out of the prism’s of her mind. Placing restrictions on God himself with religion. I receive the healing the universe has to offer. I have awaken my spirit to live and not suffocate and die. To release negative energy and to focus on positive energy. Meditation through meditopia is one of Gods greatest gift to  regenerate our very being of existence from our head to the very souls of our feet (like regenerating a cell). I had forgotten the basics the simplicity of health and wellness, so I encourage people to use the Meditopia app!","Hello, thank you so much for profoundly sharing this amazing experience with us. That's our pleasure to accompany you in this special journey. Hope you keep meditating with us and keep sharing your precious views. Best regards, Ezgi- Member Happiness"
2,2020-06-17 03:15:08,5,"Never in 1 million years did I think I would meditate, I didn’t even know what meditation was. This app was recommended to me by a coworker, I have always been a little bit high strung and it was starting to affect my health relationships and even work performance. Reluctantly I sat down listen to the lady on the app and followed along long story short, I have not missed a day in the past 5 months, I meditate daily, my life has improved drastically in all parts. Health, relationships with others and work performance,And I attribute a lot of that to finding this app and doing the work that is recommended it was an accident that I found it but I am glad I did thank you made it over yet","What a profound comment! We don't always have these life changing moments in life that open a new door, a new perspective, and a new self-understanding. We are so lucky to hear that you had one of these moments with a touch of a friend! Hope you will keep creating a special time and space for yourself. We are so excited to be with you in this journey :) If you need anything, you can always reach us via hello@meditopia.com. All the best, İpek - Member Happiness"
3,2020-08-02 13:45:00,5,"I’ve used three or four of the other popular meditation apps, and found one or two to be very helpful. For example, Headspace was responsible for helping me establish a regular 10 minute per day practice that I have maintained faithfully every day for the past five years. 

I supplemented my meditation with other apps from time to time. And recently I discovered Meditopia. I like this app best of all. Mostly because of the combination of soothing music that has a special quality I’ve not found elsewhere, and the quality of the woman’s voice that guides the meditation. 

There’s something about the blend of music, voice, and the words she uses, that make this meditation the most enjoyable and most relaxing of all the apps I’ve tried. 

So there several really good ones, but this is the best in my opinion. Of course, my opinion is just one perspective. You’d have to try it and come to your own conclusions based on your unique preferences. 

But, if you’re looking for a good meditation app to try, this one is worth checking out for sure.","Hello Ernie, thank you so much for this uplifting comment! As an experienced user in meditation apps, your views are really valuable for us. Meditation is a very personal/unique experience and it is not always easy to find what works best for you. I am really happy that you found what is best for you and that you found it with us! Hope you keep meditating with us. Please reach us through hello@meditopia.com if you would like to share more about your journey. Best regards, Ezgi- Member Happiness"
4,2020-03-03 12:07:14,5,I work night shift and on my days off it’s very hard for me to fall asleep before 6 am. I found this app last week & tried the free sounds they really knocked me out within like 5 minutes. I did pay for the upgrade so I could get a variety of sounds and not play the same ones over but so far it’s my own type of melatonin. I stopped taking melatonin a few months ago and this has been a life saver. I passed it on to some fellow night shift nurses so hopefully they’ll have the same experience as I did.,"Hello, it is great to hear that you liked Meditopia. I hope you will have very relaxing, calming, and soothing meditation experiences with a lot of insight. If you have any questions, you can always reach us via hello@meditopia.com, we are always ready to help. Hope you enjoy! All the best, İpek - Member Happiness"
5,2020-03-21 14:39:46,5,"I have tried every app I could find on meditation. I don’t have issues sleeping but getting good sleep is the problem. With the voice guidance in combination with the relaxing sounds, I was able to relax and really feel the difference. I can’t wait to try some of the other sounds. If you are looking for a meditation app that actually works and helps you, this is it. Thank you so much to the developers and people who made this app.","Hello, it is great to hear that you had better sleep quality with Meditopia. I hope you will have very relaxing, calming, and soothing meditation experiences with a lot of insight. If you have any questions, you can always reach us via hello@meditopia.com, we are always ready to help. Hope you enjoy! All the best, İpek - Member Happiness"
6,2020-06-20 11:25:30,5,I’ve tried several meditation apps but this is by far the best. I love the soothing voice and cadence of the speaker for the daily meditation. I find the special series to be timely and lightning. And I love the variety of the special series. I have never been one to stick to meditating but I have now meditated 90 days with this app. Can’t say enough about the work they put into it as well as the motivational boost I get from it.,"Wow 90 days is an amazing dedication! I am glad to hear that you enjoy Meditopia. Thank you very much for joining us! Best regards, Ezgi- Member Happiness"
7,2019-04-17 08:19:07,5,"Honestly, I’m very thankful for the creation of this app! I’ve been stressed recently and woke up every morning feeling horrible, but upon using this app, I’ve never felt fresher or more energized to start the day! Not only that, but the voice of the woman is very soothing and professional! What’s great is that you learn to balance between free usage of the app, and paid features. Which, I will do. Just amazing!","Your sharing really made us happy and motivated one more time. Thank you so much :) Take care! All the best, Seher - Member Happiness"
8,2020-01-25 04:11:53,3,"It’s nice but some people just want free sleep, meditation, or advice... and this app gives those things to you, but not for free, I would prefer an ad, then like an option to go no ads, or have a subscription for more deeper features, but no. Almost everything is locked, and I’m not willing to pay. Now on to the good, what is unlocked is fabulous. It helps you meditate and sleep. I’ve been way more calm since I got the app. Please respond by taking my suggestion. If you did your rating of 4.8 might go up to 5👍😀","Hello, it is great to hear that you liked Meditopia and got better listening meditations! Thank you so much for your precious suggestion. We will be working on that. We have both free and paid memberships. If you share the app with your friends, you can gain 2 weeks gift Premium membership. If you have any questions, you can always reach us via hello@meditopia.com, we are ready to help you! All the best, İpek - Member Happiness"
9,2020-08-25 14:40:44,5,"As someone who has tried literally EVERY meditation app available, some even choosing the premium rates, Meditopia is hands down the BEST! This app has something for everyone. I love the soothing voice of the lady talking you through the meditations, the soft music playing in the background as well as the content of the meditation choices. Well done Meditopia! I am so thankful to have found you.","Thank you very much for sharing your precious feelings and thoughts with us :) We are so grateful to hear these from a member who experienced various meditations. Hope you keep meditating and discovering your inner self! We are more than happy to accompany you in this splendid journey. Take care! All the best, İpek - Member Happiness"
