,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
0,gp:AOqpTOE7sJFo7iss0_GrWDy_J2-ve1SwK6-aCn9F2OiXekmRDW7RLNLt1G3snjWXrhWlxQgNtsirPnoIP_NGZg,Marsia Powers,https://play-lh.googleusercontent.com/a-/AOh14GgrccH2vr2TLar6PKDNWkz3Px_-_IEaEN5xuasJVQ,"I pick a Sleep Story to fall asleep to at low volume on my cell, within 5-10 mins I'm out like a light. Cell turns off when selection ends (each has a time listed on it) App is easy to use, can rewind/fast forward. Large selection to listen to of Sleep, Music, For Children, Meditation, Masterclass. Even has Idris Eldra narrating a story! My HMO Kaiser Permanente pays for its members to have this app (see if your health insurances too!) and if they ever stop I will pay out of my pocket for it.",5,3,5.12.1,2021-02-27 18:46:27,,
1,gp:AOqpTOFVPBn4fGDy31RqBchFDAoLNrGiO6nsnL_rAPBzUA03DPC3Es0smZhZmULD1Q-PkxMge3kmA4KAmuXlEA,Elouise Jones,https://play-lh.googleusercontent.com/-StFKQL5TgT8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckYznOMwRANqYY0XntpQwbyv0wKtw/photo.jpg,"Amazing! Before this app I couldn't sleep, I suffer with awful anxiety and would worry all night. I took the plunge and paid for a year's subscription about a year ago when my mental health got really bad. I'm so glad I did, it's helped me so so much, my kids also love listening to calm kids on it and it helps my son, who has autism to sleep too. I will definitely be renewing my yearly subscription this year.",5,65,5.11.1,2021-02-07 01:20:26,,
2,gp:AOqpTOFe3vj9r71JLb3g2SICWGiWljqWphKt3bH6wQ2M4w7PCtNTi7I_QW13G8fkfUwjZE1KOG50TfMcwxcbIQ,Cristina Dirlea,https://play-lh.googleusercontent.com/a-/AOh14Gjo0xMuwlGXIpmlKwFNL2jc3I2kThPnM2rEn7NG4SU,"Amazing! I can find a session for whatever mood I'm in. When I don't have the energy to meditate I can just listen to a story or just the soundscapes. Multitude of teachers so you can find the voice you enjoy guiding you. The visuals and navigation in the app are pretty intuitive. I recommend this over Headspace, which was a bit too quick for me. Calm is more gentle in its approach. It really helps with grounding.",5,105,5.11.1,2021-02-04 21:55:13,,
3,gp:AOqpTOG4PhSNGdIX8W7YfoArl2uUkHTZmhBNmaZlBQoXFZ3feaibnQH7OuLttFFiDU8dqg4zsLV8kIvGUDYNiw,Ben DJ Mr Ben Waters,https://play-lh.googleusercontent.com/a-/AOh14Ginn-mTvpskmpQsNlkOWGErgvoOh3KKkpf2vV94,"The best collection of guided & unguided meditations and mindfulness practices/techniques you will ever find in one place BUT, for me, the real Gold, is the Music, especially the SLEEP😴 section. There is such a diversity and so much, that if you listened to it all, you'd sleep 4 seasons in one month! Pure Sand from the Sandman🎶🤫✨😴",5,1,5.11.1,2021-03-01 10:34:18,,
4,gp:AOqpTOEt3n5dY5k655bc_urhfPi4zOBi2CGm5M6Xd1yTEX3AnaN1d-_9CTxJJkkHLbvEAT-8vVM-Wc4IrEXZnQ,Lindsey Rieck,https://play-lh.googleusercontent.com/-xA_q97OSAMM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck2pJC973tB21XB22VKHPTPSAUFYg/photo.jpg,"This app is essential if, like me, you have anxiety that gets in the way of enjoying life. Tara Levitt, the main voice of the meditations, has the most incredibly soothing and inspirational voice. The meditations are carefully crafted to teach a valuable lesson, while invoking a calming sensation. There have been moments where I've cried after a session. I love this app, definitely worth a subscription.",5,35,5.12.1,2021-02-26 17:27:02,,
5,gp:AOqpTOG-5_FjC9VcM0eY89yeubop-lIshaUdvPuRGYmS2M3JZUOhLlULl7PJK4nO65_s9r7Mv4bMdntDlj3GHw,Emma.S.,https://play-lh.googleusercontent.com/a-/AOh14GhmzcJKMVaLvW98PBZ47LB8k8q1O6RxUBHf6YwxTw,"What a wonderfully, beautiful app. Just what I needed, thank you :) I have noticed most giving 1 star reviews are because you have to pay after the 1 week free trial. I didn't expect something of this high quality to be free, there's no adverts and it's like purchasing meditation courses, self help, music, sleep help and more all on one amazing app. £28 for a whole year is such a fair price. It's a very proffesional app, I am happy to pay as no free app could come close to this quality.",5,49,5.11.1,2021-02-11 13:07:32,,
6,gp:AOqpTOGhFna7z9KeXtvLzcqpAl3VgESNgCGjk-gKfp7JncS5_mh-4UZTr-J_RtFk0Sr-86Wgus8b13ctYgC0HA,Dani Cortez,https://play-lh.googleusercontent.com/a-/AOh14Ghg920CvvCLLj2mayp_-vmkLEMlrHJFXBKOmAki,Wonderful app! I use it every night to help quiet my mind and get some good sleep! I had some subscription issues and reached out to the developers. They responded very quickly and took care of my issue professionally and with ease. Thank you!,5,0,5.12.1,2021-03-01 20:52:20,,
7,gp:AOqpTOEwqspROUUPEvIIxx2G5i4bajXeQrFx7G_ga02wMlH2CNhe9I1UA0aD8YAamIQ1M5m-maN2DU2gmSSB9w,Andrew Marsh,https://play-lh.googleusercontent.com/a-/AOh14Ghm280BfjUqUTg_CrTuP7DI03VrBZzuayhARYoMLA,"Well, what a surprise this is turning out to be, thoroughly impressed! Addendum to this review: Not only do I find the app and it's sleep stories great, in aiding my journey to sleepyland, but the customer service is just AMAZING!! Huge shout-out to Ana, for clearing up an issue I had today. Thank you, Ana!",5,38,5.12.1,2021-02-12 18:28:24,,
8,gp:AOqpTOG1EWoEzFYHyl5Nf6WOtghMI4x0yw66ayxCnXwtsKOiJ-NvtmsJ24CcYWPVGhAyHRReQzHsikKrciDmEw,Brandt Cox,https://play-lh.googleusercontent.com/-_cluJnmtUCY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnNJ8v04LPbJsx8_eHlsyL5UgggZw/photo.jpg,"I love the sleep 😴💤 exercises and stories. I just downloaded it tonight but I can really see ow this is the go-to app for everyone. I love it. I will definitely be considering this app to everyone for stressful workdays, general meditation exercises, relaxation and overall deep sleep. I 💕 it. To the creators, I would definitely like to see more bedtime stories for kids, maybe some more Disney inspired stories. Not from Disney themselves, but inspired by them.Ty again for a great app.GODBLESS",5,9,5.11.1,2021-02-07 07:02:01,,
9,gp:AOqpTOGOCeAHUJ2YU26H5CZRtfLMINWViqLWEK0Z2Y-q4bjo95BcS5Rw2mMl1iMPo8hO5oeZSZ0kZFOHdupWsA,me alvarez,https://play-lh.googleusercontent.com/-VbYNDMrlTss/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck8d2W5yPKflgWlq5Ij5MN_MwxoPA/photo.jpg,"A week ago I gave terrible rating because I thought they removed the music from being free, BUT they just removed the free offline option and that's ok, please never take the music away. GREAT APP, you have to pay for most of the meditations, but you get great features for free: Beautiful backgrounds, perfect noices, open meditation timer, breathing exercises, the music and the check ins options that are just genius. THANK YOU CALM! I AM SORRY FOR THE BAD PREVIOUS REVIEW, BUT NOW IT IS LONG GONE",5,27,5.11.1,2021-02-06 07:59:24,,
10,gp:AOqpTOHmSB7jk2XGXMkigvm8Om1NgXFA16cni-duT6WoT4DK2qpUPfAQPpMbxJp1O-gc6EWOmDjxhn_toyvYRA,Rachel Gamble,https://play-lh.googleusercontent.com/a-/AOh14GhgK0khtg_umDX4S7NR0VIJqcA2n0H4SMy8YZBh,"This app is my absolute favorite for meditation. There's a lot of content even added daily, and the collections are great. I even like the background soundscape. I have chronic insomnia and this app had been the only reason I feel asleep many nights. the sleep meditations are great. It's worth the money for me.",5,63,5.11.1,2021-02-02 08:44:09,,
11,gp:AOqpTOFUSTTxCG0AxH3uBiZ33byY62AhrzWr1H4jkB0WQuszvZ5brUsTT5eL62tQR-3rIvTRtO1suoXE08Yw3w,Grace Gin,https://play-lh.googleusercontent.com/-XiJ0PwbllHE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckf38RVavSsZjr6kndCqscSsKM_6w/photo.jpg,"$70 annual subscription to access a variety of content that constantly expands - comes out to $0.20/day to invest in your mental health and well-being. I love the daily meditations, sounds, and stories. Everything has been thought out in advance and made available in the app so I don't need to spend time googling suggestions which takes precious time. One of the best investments for my self care and that's priceless.",5,53,5.11.1,2021-02-10 17:36:12,,
12,gp:AOqpTOHipxQEwv_RFmktVJXR0Y79FCEJcy8oi3xTdSJcgiVAJzvzEbZX66pVzBhrm3Qboz8RmTngzzWElcUeSA,Lynn Miller,https://play-lh.googleusercontent.com/-XrH482M9oPs/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn7sMApE3HOy3jXosCITBQHq-cKHA/photo.jpg,"my beautiful, but very ""energized"" 6 yr old granddaughter loved it! She paid attention (amazing!) & interacted verbally to all the questions until she drifted off to a deep beautiful sleep. 💕 I also thoroughly enjoyed it. I loved the approach. I think we're both hooked. 🙂 Thank you. * namaste",5,6,5.11.1,2021-02-14 07:52:52,,
13,gp:AOqpTOHgHqNJmsGmk_cHDSl6YEkZSrZ1Qyrr342hklT5OLEaHHWfKbLfD80TgqEqp5DwYX0TQUPZlbJ_Gif5Qw,Michael Harvey,https://play-lh.googleusercontent.com/-0X9k1h2vKC0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmWxiEE4pkF3FjSxc7hyXLjls4-1A/photo.jpg,"This is a truly awesome app. I've been meditating for about 3 years now and using the app for 2. There is massive benefit to meditation, if you have an intense job or chronic pain or bereavement or anything of this nature. Tamara the lead meditation guru who speaks most of the daily meditations has a soothing and well planned structure; often with a daily message which helps one reflect and gain perspective in our busy lives. I would strongly recommend.",5,39,5.11.1,2021-02-02 10:39:10,,
14,gp:AOqpTOHWZATfyUfW9jeTGREbhQP-2y_k5lcWoKIx1Y8iXtD3b7CWBZOEYj6vPfZ6ePN98F-4AV_b1HB7zuk7Cw,Manda Panda,https://play-lh.googleusercontent.com/a-/AOh14GgJqI-HaDYs5NpIsNwe5t3ip1SUDL5tOFuDFTDr,"The absolute BEST meditation app I have found!!! I can honestly say I use this app at least 3 times a day! It has amazing meditations to choose from, sleep stories that work, awesome motivational music, ways to document your progress and soo much more! I never thought I would pay for a meditation app but here I am! Definitely worth it! This app has changed my life ❤",5,7,5.11.1,2021-02-08 17:52:30,,
15,gp:AOqpTOH4vRtW1CZs6uud5XMi-sq4yV1Q_mkc6YIroeWfKIvznfu7P9-n7VtlJ3NXCbq5nxzaOhfCop7zH2f69A,Philippa Tickner,https://play-lh.googleusercontent.com/a-/AOh14GikeM76qtPw6VS5zyp5jGNqcxBnJ49whS4erdps,"I can't believe how relaxing this app is. it's got a really wonderful interface and pictures too. Just a joy to use. The train sleep stories are my favourite, hardly ever fails to send me to lullaby mountain.",5,0,5.12.1,2021-03-02 02:24:48,,
16,gp:AOqpTOGbUzd_kEqBJoPuZYREbwBOytUBYHB3xwB_7sEad1HmjVX2KCU8_G1EiUYhRPLAb3quJ1cFV5eNm5_Tyw,Celina Wawrzycka,https://play-lh.googleusercontent.com/-b-xOMn6KRh0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn2vg8diLEQfoIvMOXEXyc-ICl4nA/photo.jpg,"Mind blowing! My 4yo falls asleep from proper crazy to narcolepsy in minutes. I always read her a bedtime story but she's always too interested in pictures and talking about what is going on in the story to fall asleep to it. Now she's ""dead"" 5 minutes into the story. I have also tried the app to soothe myself even though I never believed in such things but have to admit app content makes wonders, really. Highly recommend to all sceptics. Worth every penny of 28£ a year fee.",5,16,5.11.1,2021-02-03 00:00:08,,
17,gp:AOqpTOG4ZHB6diohhZ3xnwhvL1-47tnzfSvpX-mCJvToDhsmQPtACc5U4rYDFn76SE-79i2aB12jz7spNuhiPQ,Jessica Willeford,https://play-lh.googleusercontent.com/-mLcYldi39uQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclmIz1DWTpQrD3AZGlBuwrix8soHQ/photo.jpg,"Really great in creating self-awareness, and acceptance. Its great for motivation. Learning to experience and acknowledge our emotions. Combined, with breathing exercises, yoga, body scans, a plethora of mind, body, and spirit, techniques to help us cope with day to day life.",5,4,5.11.1,2021-02-14 05:05:44,,
18,gp:AOqpTOGW229U0Z2DNa4IVg0fTdWROmlmo8sswOQPrQJFk_XZugAV8r3n12gWOo3tnJ6G0tTUBmOUea-BAs0LLQ,Caitlin McKenzie,https://play-lh.googleusercontent.com/a-/AOh14GjBUYzvw0op72GM0SeHY710-VOACE0yVfRs2oFtl2g,"Love this app. The meditations and messages are relatable and relevant, plus there's plenty of various meditations to chose from. I now find myself wanting to meditate, as opposed to forcing myself to, because the Daily Calm and Daily Trip have such good little tidbits of wisdom in them.",5,5,5.11.1,2021-02-08 18:12:26,,
19,gp:AOqpTOHDpOpNy8_Rmw5c6FRYnqiBmMz4uU2B4VKQkMo-kjGj5nnVV2OX8t_SZB6v_3sIF0KgZqZxTEFjtIN_ow,Monique Birgitte,https://play-lh.googleusercontent.com/a-/AOh14Ghq2SlDfrZ4T7QQeMUQand1zOxIlTod2-6_3pm54g,"Love this app! Have been using it for I think 8 years or so now. Some months consistently when the need for structure was higher. Some months not so much. Whenever I do get back to it, it's exactly what I need. My favorite is the 10 minute loving kindness meditation. It honestly changed a difficult relationship and I shifted from feeling underapreciated and resentful to respected and very much valued❤️ it was incredible to me to experience everything I could do myself and with love and ease❤️",5,0,5.12.1,2021-02-21 10:49:27,,
20,gp:AOqpTOEL5o770D2uWsoMwxOoq68ACBQevLFU8-hmipqCWFEFCtN1LZxSkaO0pdqNkezkWltBWfzQXh-tqtjdMQ,Wendy Cecio,https://play-lh.googleusercontent.com/-8fSvq2Fqu_E/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmBmh3pkCCkCwp-dU5a8QR6LH5fYQ/photo.jpg,"Sitting and breathing, centering myself with meditation ... it truly does make me feel peaceful, clear and focused. I'm inspired already after just one meditation experience. I definitely need to make time every day for meditation. A whole body experience. 🧘‍♀️",5,0,5.12.1,2021-02-27 22:48:10,,
21,gp:AOqpTOE7ZE0rlTSuHSn3DgJJF_1SS7cfOPYRcXLfE9qprccaPrRD3knHoqvygp-ZXqh9ZCmsBMSxmPakukqyGA,Hollie Williams,https://play-lh.googleusercontent.com/-eSzXogg9Ikk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn8VBX57XZKGDwlWI83ndwU3F0pGg/photo.jpg,"Love the daily meditation, so short, simple and very effective. The different choices of 'noise' from white noise to rain drops.... are extremely relaxing. Lots of stories and meditation choices. This has become my 'go to app' ❤ It clearly states its a 7 day trial with an annual charge of £28. Those complaining, didn't read or don't value their mental health. I think it's an amazing app which is helping lots of people during the pandemic 🌟🤩⭐🌠💫",5,5,5.12.1,2021-02-17 13:06:26,,
22,gp:AOqpTOFaSEC9R50XbXSzYxZm63Qsr6WHXfVhlYb6izXPcTE56-rRPB-ZBdQN1Pb4HG1lhN-jmLeB_5y9_abT4w,Jer Briggs,https://play-lh.googleusercontent.com/a-/AOh14GhiOR00w_XWTrOT8bcttlZPD7kegmvhIs4_LLV1W7Q,"Used this app for the first time last night. WOW!!! I felt very stressed out when I laid down to sleep, around 9:30 as I had just been watching some of yesterday's 📰 news. First, I started out by listening to the Nile story. Must have fallen asleep very fast because I haven't a clue how it ended. Changed to the "" crackling 🔥 fire"" sound after my first ""bathroom run"", then to Ocean 🌊 waves. Just woke up at my usual time, a little after 5 AM. Unlike most mornings, I actually feel REFRESHED!!!",5,9,5.11.1,2021-02-11 16:14:21,,
23,gp:AOqpTOH-PLe5wGhba-OBcZ-pt9hNw6n_yC3vSBiEQqAp7x7IY3YX6870KeUbh3VTVcWZInX8BtrUPR7L-52enQ,Ken Freminot,https://play-lh.googleusercontent.com/-7NFpF_Q9T-w/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnPFbIqFX-neaJQPmpt7Ip0DBUEig/photo.jpg,"I have been meditating since 2019,mid year. This was amongst the first app I had and I subscribed for a year in 2020. I have done many types of meditation since then. I bought the full version to become more consistent esp in terms of mindfulness which can be applied anytime, anywhere in any circumstances even without this app to help oneself deal with the current circumstances in life. Great job! Keep updating and adding new contents!",5,3,5.11.1,2021-02-10 19:01:10,,
24,gp:AOqpTOGsxIhVfjjfwt0sN-29q_p-AB5P7P7qcfuq-pVBkmREi_cfRPunWZTpEKhifLin_Zv2mVX5mmrWK-nrfg,Nicola Flux-Edmonds,https://play-lh.googleusercontent.com/-ZlOaGbTbp4g/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnTV1KiETr8iXvnMIMnNI1TT5AceQ/photo.jpg,"I was doubtful but keen for meditation to work. It now helps me from my most traumatic nightmares and brings me back. Each day I start my day with Either the daily meditation or with the anxiety meditation first then later the daily meditation. It is more easily helping me cope with my severe trauma ptsd. try it, there is nothing to lose and everything to gain.",5,3,5.11.1,2021-02-07 09:55:57,,
25,gp:AOqpTOEltk0SqM_WvjT6ypXhgezMkgBbYowFvpMF4XSMoNx1piJ1C5jQf34B1HaYNHPDodSVMqxQr2385iSU5Q,Jennifer Cousteils,https://play-lh.googleusercontent.com/a-/AOh14Gg1x921SkZpZGj8dUmuFngYSCpeyWd5AJqSPVO4mg,"Wonderful app. I would really like the option to cast to my google home mini or to the chromecast. My phone speakers aren't very good, and it's a hastle to bring out and connect a blue tooth speaker instead of connecting to something already set up.",5,7,5.11.1,2021-02-04 01:23:26,,
26,gp:AOqpTOGcodSyC3gppBU9FBTMqYWPteI3BX0Do0tSq5MpHv2O-qAVhrHoDOMUa90qUPfnNJueF-x1o_rSu7vtCQ,Melissa Rafiq,https://play-lh.googleusercontent.com/a-/AOh14GivMh1cEmPStFCWaRMY9bLPjnOEz7LpLXEdxddGcLg,"So many guided sessions, exercises and even resources for children. It covers a variety of topics and life events. I would highly recommend.",5,0,5.12.1,2021-03-02 01:16:49,,
27,gp:AOqpTOFEiuDSIfdCf9lNilG0gUdEf7dmULPRAWI6rLXiql8jrtC-0X5-ZH8FamgGkrCUgPABkm64kaSrIT0O-A,Katrina Wilcox,https://play-lh.googleusercontent.com/a-/AOh14GjRciPj_fLkJ3DMfqNcabeCbm4kpFwesnrbSTtE_48,I subscribed last year and the app has helped me sleep better! my only ask would be is if we can queue up Sleep Stories like in a playlist because sometimes I get jolted awake when the story stops.,5,1,5.12.1,2021-03-02 09:30:58,,
28,gp:AOqpTOE8cA8Cf1vpK-7z17rvRuAI22mytV1gx7RZYNS73UWus5cWqGnwfEL0V0n4nWqMJ63l6RYkOu5n353OrA,Miss Guided Light,https://play-lh.googleusercontent.com/a-/AOh14GhsbKDoZF3kLtynqc5mhw5bbzrON2e60cRAZAf7rg,"Calm is amazing! I've never meditated before in my life but since I've found this app, I meditate everyday! It's so peaceful and relaxing. I love the way I feel after each session! 😀",5,1,5.11.1,2021-02-10 14:10:50,,
29,gp:AOqpTOHXEFHJTK98kWajLdbSjUF1s_nnD4FO6T4IHLniaxZYFkbLa6eP6xPZJD76MaRJCXUEr-2fyQjK21dehg,Joshua Sears,https://play-lh.googleusercontent.com/-o0XFRGyojiQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckPhfJlLCbjuO_oqiz6ZuxIqiQ_LQ/photo.jpg,"absolutely love this app. I have been trying for years to learn how and practice meditation unsuccessfully, until now! Thank you Cam for truly living up to your name! Well worth the the price of especially now! this is an absolute direct way to battle this pandemic! I would give it 10 Stars if I could",5,2,5.11.1,2021-02-11 15:18:10,,
30,gp:AOqpTOEET-FVN_AaEdUfakdzOpdUbJj4IVxPzL91Y5Sm2kTMHiwcfM_DktofuL04HSuqgYwC3KbUEy3emvS19Q,Warren straughton,https://play-lh.googleusercontent.com/-mYCQiFBAV7U/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnI3WjUH16CPEqgF1gox2CRT-I2Bw/photo.jpg,I like the options you have and how you can add comments about how your feeling on the day through your comments and choices it picks what you may need to help you relax. I recommend trying the 7 day free trial.,5,1,5.11.1,2021-02-07 11:59:29,,
31,gp:AOqpTOGppN5ajoMVmu5ra_1fxuVtL419z3898Uj0i3g2vqS8XEoyOOUNw9X7YSdhhfxF8wpfG18zP4dyJfEAiA,Emerald Coleman,https://play-lh.googleusercontent.com/a-/AOh14Gjst_6Ajzu0ObtIlczOvx6BYBmoyP2bnwF8rAOX4w,"I use this app with my students to teach them how to self-regulate emotions, and I use it for myself to help me fall into a deep peaceful sleep. I've also shared it with my friends who suffer from anxiety to help them with their breathing exercises. Honestly, there's so much that this app can do. I absolutely love it.",5,2,5.11.1,2021-02-12 16:29:00,,
32,gp:AOqpTOEvlSq6ZeyK60M-odzLrBcFlmyKYI1j-z5btufhfJDpjhvyZx80uH53qj-T5wtb4j9NdQPilEWyLPUIKg,Michael flannery,https://play-lh.googleusercontent.com/a-/AOh14Gi3_kmbf_AKJKHXLyaotTM7AUAWdmnxBKj2eW1j,"very useful tool, straight forward and easy to use- its simple intuitive design makes it easy to slot into or create a daily routine would highly recommend",5,0,5.12.1,2021-02-28 19:35:17,,
33,gp:AOqpTOHcJofBSuhXiENA9RWEGGB1Tx3c9Vq8JwTU3nDvA8MwEfBV581UVccPmIwH5UOorYZ13xxiJ-hBCxIeHw,Sharon willmott,https://play-lh.googleusercontent.com/a-/AOh14GiOjrg4lNxRM6FmwP1DvgKYzQVsjKLyEPcRq7FQ3A,"I wasn't into meditation until now I found a couple of apps and tried it. it is without doubt the most effect way to relax. I haven't explored much, but the range of subjects seems large, I am excited to find out more👍",5,4,5.11.1,2021-02-02 15:34:30,,
34,gp:AOqpTOHQ-66rnvXqUvZK6_Rt66v7_CjU1GBj-4WVrUxAK-J5jLY6CP024XhedWsbx3XBIOTfhk3tSSMxaKXcjQ,Drew,https://play-lh.googleusercontent.com/a-/AOh14GjvlrGcUNP4HYJqnlibybzrmQFD_9TEZfB2gXbl,Its been over a year and I'm clearly aware of the changes in myself. A queue option would go a long way on this app. Bringing seamless transitions from one lesson to the next.,5,3,5.11.1,2021-02-04 18:47:11,,
35,gp:AOqpTOGCvixG2Bi_aomFv77k41_p6xVvPZEjt39n7bEwyJfN839Bm3LdSw7xTCZxPKzWTX6h4nTpsfW7VOBLDA,Vivek Dhami,https://play-lh.googleusercontent.com/a-/AOh14GgDetiuMjoqn8QD1FjYwJhvTdrSBU7diVx9rBoluw,Its the best meditation app available. Has everything that you need to get better at your meditation practice. Cuts the clutter and keeps you calm.,5,2,5.11.1,2021-02-12 09:59:33,,
36,gp:AOqpTOFVemW6r-OEIljs41bWH2NOEkaseTXnwFWKGJ6uSfWIIKAUY06NvSHfldfFkbzMXPYfwAZ3TVdIJsjV5w,Basshead27,https://play-lh.googleusercontent.com/-32PxAFpnhF4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn-e5VQnUk4kROQY42IyuKYf0-s8Q/photo.jpg,"This app has helped big time during the first covid lock down, don't think I would have survived without using Calm every day & night. I still listen to the daily calm now that the 2nd lock down has been easier.",5,2,5.11.1,2021-02-05 00:57:32,,
37,gp:AOqpTOHlxSWbyKW6ue6tCQcAiykgRehS_CaomURokJ3ZVziBDYYXgB2LDB8yLSiS80dXkahFtVqiQnAOluQPgA,idalcia bergara,https://play-lh.googleusercontent.com/a-/AOh14Gi3nTmyHt7MxIn-GcmcwY2dUqOaJsfxnHGMSwtRfw,"I love how easy is to start a day with the friendly remainders,, just by setting the time is most convenience for you, I love to begin my day with just 15 min of meditation and gratitude... Thank You Calm, I'm very grateful!!!",5,2,5.11.1,2021-02-10 14:56:15,,
38,gp:AOqpTOFV5yVBH6Wol5ymueu23fV12rKfP0iydHtkCw6L2y2u8KMGVns9433Kot19_1oe1GraLiZhjL3e4PNMDA,Yvonne Aceves-Walls,https://play-lh.googleusercontent.com/a-/AOh14GiUXYYn_iIel0Ryl9q0flB0mqRs_-_RX-9rA3rUZ90,Love this app! I've never learned how to meditate before. This app guides you and really works to calm.,5,0,5.12.1,2021-02-20 18:00:08,,
